NodeIdentifier1,NodeIdentifier2,InTestSet
C0772615,C0151636,True
C1573240,C0151636,True
C1968016,C0151636,True
C2937824,C0151636,True
C0700534,C0151636,True
C2366225,C0151636,True
C0689615,C0151636,True
C0690140,C0151636,True
C0783618,C0151636,True
C0012702,C0151636,True
C0025887,C0151636,True
C0979779,C0151636,True
C0978186,C0151636,True
C0979780,C0151636,True
C0690142,C0151636,True
C0027444,C0015405,True
C0040867,C0039103,True
C0040866,C0039103,True
C0977696,C0040822,True
C0937296,C0040822,True
C0004261,C0040822,True
C4082683,C1458155,True
C2926824,C1458155,True
C0979923,C1458155,True
C0076181,C1458155,True
C1620746,C1458155,True
C0689587,C1458155,True
C1168784,C1458155,True
C0020789,C1458155,True
C0982721,C1458155,True
C0978897,C1458155,True
C0014942,C1458155,True
C4048660,C1458155,True
C4552027,C1458155,True
C1145680,C1458155,True
C2937598,C1458155,True
C0980523,C1458155,True
C0980529,C1458155,True
C0703457,C1458155,True
C2937612,C1458155,True
C0977255,C1458155,True
C0771488,C1458155,True
C0977722,C1458155,True
C1699236,C1458155,True
C0015011,C1458155,True
C3162898,C1458155,True
C0976368,C1458155,True
C1123031,C1527298,True
C1620311,C1527298,True
C0031862,C0021295,True
C0724624,C0008733,True
C1589847,C0026764,True
C1955474,C0026764,True
C0021735,C0026764,True
C1816331,C0026764,True
C1712128,C0026764,True
C3194954,C0026764,True
C1876541,C0026764,True
C0352329,C0038218,True
C1167570,C0038218,True
C0938062,C0038218,True
C0977611,C0038218,True
C0981482,C0038218,True
C0689118,C0038218,True
C2940736,C0038218,True
C0020268,C0038218,True
C0776660,C0011974,True
C0982604,C0011974,True
C4080553,C0011974,True
C0980832,C0042963,True
C1329016,C0042963,True
C0688308,C0042963,True
C0690307,C0042963,True
C0033230,C0042963,True
C0689939,C0042963,True
C0053284,C0042963,True
C0980110,C0042963,True
C0304304,C0042963,True
C0054120,C0042963,True
C0979406,C0042963,True
C0062103,C0042963,True
C0979804,C0042963,True
C0688304,C0042963,True
C0982865,C0042963,True
C0975603,C0042963,True
C4275520,C0042963,True
C0786754,C0042963,True
C0546876,C0042963,True
C0979403,C0042963,True
C0978365,C0042963,True
C0979809,C0042963,True
C1572086,C0042963,True
C0979818,C0042963,True
C0977685,C0042963,True
C0981346,C0042963,True
C0058371,C0042963,True
C0690163,C0042963,True
C1814279,C0029878,True
C0979107,C0029878,True
C0778369,C0029878,True
C0032535,C0029878,True
C0688338,C0029878,True
C3652001,C0018133,True
C0772450,C0018133,True
C0875597,C0018133,True
C0689572,C0018133,True
C0981777,C0018133,True
C0039736,C0018133,True
C0694077,C0018133,True
C0978592,C0018133,True
C4082681,C0018133,True
C1123024,C0018133,True
C0705538,C0018133,True
C0004482,C0018133,True
C1306064,C0004239,True
C0976521,C0004239,True
C0708928,C0004239,True
C0713546,C0004239,True
C0690137,C0004239,True
C0979931,C0004239,True
C3692256,C0004239,True
C1329803,C0004239,True
C0982859,C0004239,True
C0012258,C0004239,True
C0687940,C0004239,True
C0938788,C0004239,True
C2725273,C0004239,True
C0792222,C0004239,True
C0979780,C0004239,True
C0072869,C0004239,True
C0000981,C0002351,True
C1878256,C0036262,True
C3818693,C0010068,True
C0022252,C0010068,True
C0991855,C0010068,True
C0055003,C0034186,True
C0693579,C0034186,True
C0536495,C0034186,True
C2917458,C0034186,True
C0975674,C0034186,True
C1329023,C0034186,True
C0693578,C0034186,True
C0979216,C1527348,True
C0975380,C0031154,True
C0978461,C0031154,True
C0975409,C0031154,True
C4083012,C0031154,True
C1145761,C0031154,True
C0975735,C0600142,True
C1531888,C0600142,True
C0875668,C0600142,True
C0976753,C0600142,True
C1168784,C0600142,True
C1330622,C0600142,True
C0976767,C0600142,True
C0059623,C0600142,True
C0976794,C0600142,True
C0688800,C0600142,True
C0688797,C0600142,True
C0780174,C0600142,True
C0976773,C0600142,True
C0975730,C0600142,True
C0976780,C0600142,True
C0875665,C0600142,True
C0976760,C0600142,True
C1829337,C0600142,True
C0976752,C0600142,True
C0688787,C0600142,True
C0994521,C0020598,True
C3883589,C0020598,True
C0975190,C0020598,True
C0691272,C0020598,True
C0731939,C0030568,True
C0783083,C0030568,True
C0690306,C0030568,True
