NodeIdentifier1,NodeIdentifier2,InTestSet
ATF2,ATF3,True
BRCA1,CDKN1B,True
CCL2,CEBPA,True
ABCB1,CEBPB,True
CDKN1A,CEBPB,True
BHLHE40,CLOCK,True
BHLHE41,CLOCK,True
BCL2,CREB1,True
APP,CTCF,True
CEBPB,CXCL8,True
BIRC5,E2F1,True
DBF4,E2F1,True
CDKN1A,EGR1,True
EAPP,EGR1,True
CDX2,ELMO3,True
AR,ESR1,True
CCND1,ESR1,True
ANPEP,ETS1,True
FAS,FOS,True
CXCR4,FOXO1,True
CDC6,GATA1,True
CCND1,HDAC1,True
CLDN7,HDAC1,True
CFLAR,HDAC9,True
ASS1,HIF1A,True
CXCR4,HIF1A,True
HBEGF,HIF1A,True
CIITA,HLA-B,True
COL11A2,HMGA2,True
CYP2D6,HNF4A,True
CREBBP,HOXA9,True
FGF2,HOXB7,True
CEBPA,HSD17B11,True
GTF2I,HSPA5,True
FOXP3,IL2RA,True
EGR1,IL3,True
ETS2,IL5,True
GATA4,IL5,True
CASP3,ING1,True
CDKN1A,ING4,True
BRCA1,IRF7,True
IFNA1,IRF7,True
HIF1A,ITGB2,True
ETS1,JUN,True
EGFR,JUNB,True
BCL6,JUND,True
DAPK2,KLF6,True
KLF6,LAMA1,True
AES,LEF1,True
ERG,LYL1,True
BRCA1,MAD2L1,True
FOSL2,MDM2,True
MAPK7,MEF2C,True
BEST1,MITF,True
HIF1A,MITF,True
MAZ,MMP1,True
FOXP3,MSC,True
IL10,MSC,True
LCK,MYB,True
CDKN1A,MYC,True
DLX5,MYC,True
MYB,MYC,True
HOXA9,MYCN,True
EGR1,NAB2,True
KLF2,NANOG,True
ATF4,NDC80,True
FOS,NF1,True
IRF8,NF1,True
CYP2E1,NFATC1,True
FN1,NFKB1,True
FOXP3,NFKB1,True
ICAM1,NFKB1,True
IL1B,NFKB1,True
IL2,NFKB1,True
IL6,NFKB1,True
LPL,NFKB1,True
MCL1,NFKB1,True
KLF6,NOS2,True
NFKB1,NOX5,True
NFE2L2,NQO1,True
LHB,NR5A1,True
NR0B1,NR5A1,True
FMR1,NRF1,True
BCL2L1,NUPR1,True
CCNG2,OTX2,True
CD19,PAX5,True
PAX6,PCSK1,True
GLI2,PDGFRA,True
GATA1,PF4,True
PBX1,PF4,True
DBH,PHOX2A,True
KLF6,PMAIP1,True
ANGPTL4,PPARG,True
BCL2,PPARG,True
APOC3,PPARGC1A,True
CDKN1C,PROX1,True
JUN,PTGS2,True
HOXA5,PTN,True
BCL2L1,RELA,True
BMP2,RELA,True
CCR7,RELA,True
CEACAM1,RELA,True
CFTR,RELA,True
CXCL1,RELA,True
CXCR2,RELA,True
FGF8,RELA,True
FN1,RELA,True
GATA3,RELA,True
IFNG,RELA,True
IL23A,RELA,True
MAT2A,RELA,True
MMP1,RELA,True
MUC2,RELA,True
NCAM1,RELA,True
NR1H4,RELA,True
OXTR,RELA,True
PLAU,RELA,True
PTEN,RELA,True
PTGS2,RELA,True
HIF1A,RORA,True
NCAM1,RUNX1,True
MMP13,RUNX2,True
MMP2,RUNX2,True
CXCR5,RXRA,True
NFKB1,S100A6,True
RELA,S100A6,True
CEBPA,S100A9,True
CDK4,SATB1,True
HNF4A,SERPINC1,True
RXRA,SERPINC1,True
PPARA,SERPINE1,True
CYP11A1,SF1,True
MCL1,SIRT1,True
APEX1,SLC5A5,True
ANGPTL4,SMAD3,True
CDKN1A,SMAD3,True
PTHLH,SMAD3,True
APOC3,SMAD4,True
KAT2B,SMAD4,True
CDKN1A,SMARCA4,True
NFE2L2,SOD1,True
MITF,SOX10,True
FGF4,SOX2,True
COL11A2,SOX9,True
IRF5,SP1,True
KLK3,SP1,True
OPRM1,SP1,True
PLAUR,SP1,True
PRSS50,SP1,True
PTTG1,SP1,True
RETN,SP1,True
SERPINB5,SP1,True
SOCS1,SP1,True
ADGRE5,SP3,True
LPL,SP3,True
SP1,SP3,True
AGR2,SPDEF,True
MUC2,SPDEF,True
ITGB2,SPI1,True
JUN,SPRR1B,True
NPC1L1,SREBF2,True
FOS,SRF,True
MMP14,SRF,True
CEBPA,STAR,True
FGF2,STAT1,True
ICAM1,STAT1,True
IRF8,STAT1,True
IRF1,STAT2,True
CRP,STAT3,True
HIC1,STAT3,True
IRF1,STAT3,True
S100A4,STAT4,True
IL4,STAT6,True
MKL1,TAGLN,True
ERG,TAL1,True
RELA,TBX21,True
EGR1,TCF4,True
DNMT1,TERT,True
MYC,TERT,True
ECM1,TFAP2A,True
CDKN1A,TFAP4,True
AR,TGFA,True
STAT3,TGFB1,True
FLI1,TGFBR2,True
PHOX2B,TLX2,True
REL,TNFAIP3,True
NFKB1,TNFSF10,True
BCL2L1,TP53,True
