NodeIdentifier1,NodeIdentifier2,InTestSet
C023676,D009461,True
D011241,D009461,True
D000086,D009461,True
D007531,D009461,True
D013148,D009461,True
D005275,D009461,True
D002104,D009461,True
D004002,D009461,True
D002217,D009461,True
D000212,D009461,True
D009543,D009461,True
D004316,D009461,True
C067713,D009461,True
D003484,D009461,True
C489152,D014355,True
D004390,D053627,True
C118559,D053627,True
D015025,D053627,True
D018038,D053627,True
D014810,D053627,True
D000305,D003876,True
D005976,D003876,True
C006048,D003876,True
D013256,D003876,True
C013874,D003876,True
D007654,D003876,True
C010893,D003876,True
D017258,D020766,True
D000068581,D020766,True
D017291,D008586,True
D000077185,D000077274,True
D008775,D045169,True
D010100,D008569,True
D006854,D008569,True
C050426,D008569,True
D015742,D008569,True
D004880,D008569,True
D004390,D008569,True
D007052,D008569,True
D028321,D008569,True
C008261,D008569,True
D015767,D008569,True
C014024,D008569,True
C057862,D008569,True
D008691,D008569,True
C088155,D008569,True
C022838,D008569,True
C063249,D008569,True
D001151,D008569,True
C584509,D008569,True
C511222,D008569,True
D013311,D008569,True
D004391,D008569,True
D013792,D008569,True
C001654,D008569,True
D000111,D008569,True
D000970,D008569,True
D002927,D008569,True
C058317,D008569,True
D001335,D008569,True
D009538,D008569,True
C553674,D008569,True
C004479,D008569,True
C036466,D008569,True
D012642,D008569,True
D008727,D008569,True
C079049,D008569,True
C032208,D008569,True
D008751,D008569,True
C012043,D008569,True
D017378,D008569,True
D005485,D008569,True
C072936,D008569,True
D017294,D008569,True
C052570,D008569,True
C530773,D004195,True
D015127,D004195,True
D000077410,D004195,True
D002110,D004195,True
D012972,D004195,True
D019345,D004195,True
C030370,D004195,True
D005990,D004195,True
D013747,D004195,True
D008715,D004195,True
D012822,D004195,True
D005492,D004195,True
D004041,D004195,True
C059414,D004195,True
D005702,D004195,True
D001379,D004195,True
C001209,D004195,True
C015392,D004195,True
D002122,D004195,True
D016047,D004195,True
D005467,D012811,True
D007978,D012811,True
D000111,D000789,True
D000077143,D009202,True
D011224,D009202,True
D003035,D009202,True
C042986,D009202,True
D000661,D009202,True
D020889,D009202,True
D043823,D009202,True
D004052,D009202,True
D014150,D009202,True
C032688,D009202,True
D007649,D009202,True
D004999,D009202,True
D004205,D009202,True
D010672,D009202,True
D000806,D009202,True
D011341,D009202,True
C411764,D009202,True
D015255,D009202,True
D014212,D009202,True
D003609,D009202,True
C010480,D009202,True
D000077237,D009202,True
D016285,D009202,True
C100173,D009202,True
D008914,D000370,True
D019808,D000370,True
C506643,D000370,True
D010396,D000370,True
D013853,D005218,True
D010121,D014597,True
D013792,D048968,True
D004317,D012208,True
D001418,D005534,True
D010575,D046110,True
D014148,D005128,True
D002945,D005128,True
D004206,D005128,True
D003676,D005128,True
D016572,D005128,True
D008094,D005128,True
D002220,D005128,True
D004977,D005128,True
D005472,D054549,True
C014055,D002056,True
D007649,D002056,True
D009355,D002056,True
D004656,C535581,True
D019787,D013217,True
D015215,D014625,True
D003606,D014625,True
D011374,D014625,True
D016578,D017545,True
D003520,D012507,True
D004317,D008548,True
D013974,D013971,True
D011241,D005921,True
D000068756,D005921,True
C081643,D005921,True
D014237,D005921,True
D010431,D005921,True
D002939,D005921,True
C025170,D005921,True
D009173,D005921,True
C097240,D055370,True
C009438,D055370,True
D013458,D055370,True
D012601,D055370,True
D014028,D055370,True
D004785,D055370,True
C016614,D055370,True
D009151,D055370,True
D001335,D055370,True
C064976,D055370,True
D010705,D055370,True
D008727,D055370,True
D013392,D055370,True
D000975,D055370,True
D013449,D001017,True
D000806,D012078,True
D017373,D012078,True
D018967,D053159,True
D002330,D053159,True
C034587,D053159,True
D014747,D012514,True
D000661,D016757,True
D004317,D016757,True
D000638,D020795,True
D013852,D020795,True
D004329,D020795,True
D012601,D020795,True
D001647,D004942,True
D011241,D018979,True
D001262,D001941,True
D004878,D023921,True
D000077261,D023921,True
C093875,D055963,True
D008345,D058225,True
D007660,D017695,True
D000667,D000038,True
D008712,D000038,True
C040738,D000038,True
D017576,D000038,True
D002939,D000038,True
D014529,D005234,True
C009785,D005234,True
C034534,D005234,True
C014055,D005234,True
D004731,D005234,True
D053959,D005234,True
D015032,D005234,True
D010368,D005234,True
C008924,D005234,True
C477843,D005234,True
D013311,D005234,True
D018119,D005234,True
D008715,D005234,True
D003907,D005234,True
D004785,D005234,True
D000111,D005234,True
C025256,D005234,True
D000527,D005234,True
D012701,D005234,True
C541131,D005234,True
D016729,D005234,True
C005499,D005234,True
C471071,D005234,True
D002738,D005234,True
C026987,D005234,True
D014241,D005234,True
D010431,D000756,True
D011736,D000756,True
D002945,D014134,True
D010100,D006327,True
C558899,D006327,True
D000929,D006327,True
D003000,D006327,True
D004176,D006327,True
D004110,D006327,True
D001285,D006327,True
D011224,D018754,True
D011241,D018754,True
D004656,D018754,True
D000431,D018754,True
D004206,D018754,True
D000077261,D018754,True
D037342,D018754,True
D000639,D018754,True
D013752,D005549,True
D000077213,D054220,True
D014801,D054220,True
D015474,D054220,True
D004052,D001649,True
D015058,D001649,True
D002077,D001649,True
D005467,D001649,True
D000077144,D001649,True
D008558,D001649,True
D012834,D001649,True
D002330,D009916,True
D011241,D007022,True
D003981,D007022,True
D010852,D007022,True
C002385,D007022,True
D019162,D007022,True
D009568,D007022,True
D014191,D007022,True
D000638,D007022,True
D017311,D007022,True
D015737,D007022,True
C524106,D007022,True
D015215,D007022,True
D012964,D007022,True
C070492,D007022,True
D015016,D007022,True
D006851,D007022,True
D003520,D007022,True
D009530,D007022,True
C052555,D007022,True
C104875,D007022,True
D024505,D007022,True
C041226,D007022,True
C028889,D007022,True
D020110,D007022,True
D010869,D007022,True
D008353,D007022,True
D017409,D007022,True
D008616,D007022,True
D004656,D007022,True
D003000,D007022,True
D010672,D007022,True
D000431,D007022,True
D000676,D007022,True
D008729,D007022,True
C045911,D007022,True
D020105,D007022,True
D000077212,D007022,True
D013619,D007022,True
D008799,D007022,True
D008680,D007022,True
D015116,D007022,True
C406061,D007022,True
D006221,D007022,True
D005045,D007022,True
D005702,D007022,True
D001379,D007022,True
C047046,D007022,True
D007505,D007022,True
D000082,D007022,True
C435583,D007022,True
C072125,D007022,True
C030101,D007022,True
D011433,D007022,True
C001427,D007022,True
D002118,D007022,True
C106124,D007022,True
D000069059,D007022,True
D004737,D007022,True
D000625,D007022,True
C093622,D007022,True
D000639,D007022,True
D004809,D007022,True
D003992,D007022,True
C082658,D007022,True
D019772,D007022,True
D013654,D007022,True
D009638,D007022,True
D000109,D010243,True
D009277,D010243,True
D004491,D010243,True
D010401,D010243,True
D008464,D010243,True
D003932,D010243,True
C027260,D010243,True
D011188,D010243,True
D003300,D010243,True
D000583,D010243,True
C086566,D010243,True
D011239,D010243,True
D001905,D010243,True
D000077123,D010243,True
D000077489,D010243,True
D007978,D010243,True
C009279,D010243,True
D012431,D010243,True
D009355,D010243,True
C092561,D010243,True
D003024,D010243,True
D000900,D010243,True
D003894,D006408,True
C025667,D006408,True
D018712,D001437,True
D009643,D001437,True
D002437,D001437,True
D002738,D008269,True
D010624,D019043,True
D002974,D003139,True
D003042,D003251,True
D009599,D003251,True
D002330,D013280,True
D004317,D013280,True
C052785,D013280,True
D015080,D007249,True
C031278,D007249,True
D010938,D007249,True
D000068299,D007249,True
C525468,D007249,True
C047368,D007249,True
D017672,D007249,True
D017962,D007249,True
D012999,D007249,True
D001622,D007249,True
C513234,D007249,True
D015016,D007249,True
C517232,D007249,True
C063918,D007249,True
D014580,D007249,True
D015058,D007249,True
D008063,D007249,True
D011765,D007249,True
C500823,D007249,True
D053959,D007249,True
C121876,D007249,True
D015232,D007249,True
C020481,D007249,True
D019980,D007249,True
C038849,D007249,True
D008555,D007249,True
C500809,D007249,True
D006861,D007249,True
D013806,D007249,True
D000077542,D007249,True
D011791,D007249,True
D000077212,D007249,True
C548544,D007249,True
C020326,D007249,True
D004391,D007249,True
D004008,D007249,True
C083295,D007249,True
D006862,D007249,True
C025583,D007249,True
C119130,D007249,True
C025589,D007249,True
C013279,D007249,True
D008770,D007249,True
D014315,D007249,True
D016264,D007249,True
D013605,D007249,True
D014212,D007249,True
D017835,D007249,True
C004532,D007249,True
D012503,D007249,True
D006632,D007249,True
D006493,D007249,True
C013270,D007249,True
C104525,D007249,True
C084830,D007249,True
C008728,D007249,True
D002738,D007249,True
C000228,D007249,True
C043561,D007249,True
D012431,D007249,True
D000577,D007249,True
C040048,D007249,True
C507582,D007249,True
C587274,D007249,True
D005996,D051302,True
D000077465,D051302,True
D000068557,D006978,True
D008939,D007006,True
D000431,D008108,True
D000082,D009008,True
D001621,D008575,True
D004967,D005687,True
D007099,D005687,True
D008787,D005687,True
D007559,D006374,True
D016559,D013132,True
D010830,D013132,True
D018712,D011776,True
D014295,D011776,True
D005467,D003137,True
D011241,D011658,True
D015662,D011658,True
D013458,D011658,True
D001205,D011658,True
D001761,D011658,True
D011791,D011658,True
D052638,D011658,True
D001599,D011658,True
D009538,D011658,True
C465546,D011658,True
C009495,D013952,True
D018967,D009084,True
D014810,D002252,True
D013739,D014646,True
D013853,D011230,True
D002110,D011230,True
D000077559,D011230,True
D003494,D011230,True
D013467,D011230,True
D017693,D011230,True
C008661,D011230,True
C013958,D011230,True
C501196,D011230,True
D009828,D011230,True
D002635,D011230,True
D004958,D011230,True
D015474,D011230,True
D059808,D011230,True
C076948,D010523,True
D014529,D010523,True
D016559,D010523,True
D003520,D010523,True
D008063,D010523,True
D013713,D010523,True
C506643,D010523,True
D002945,D010523,True
C424422,D010523,True
C016463,D010523,True
D010664,D010523,True
D008996,D010523,True
D008743,D010523,True
D011239,D010523,True
D008558,D010523,True
D016912,D010523,True
D002331,D010523,True
D008784,D010523,True
D012256,D010523,True
C430592,D010523,True
D016291,D010523,True
D017964,D010523,True
D002746,D010523,True
C014655,D010523,True
D008920,D010523,True
D019829,D010523,True
C010491,D010523,True
D007545,D019462,True
D013806,D019462,True
C008088,D053098,True
D011794,D006943,True
C007628,D006943,True
D015773,D006943,True
C002602,D006943,True
D016559,D006943,True
D008687,D006943,True
C000611646,D006943,True
D000077152,D006943,True
C057862,D006943,True
D008691,D006943,True
C116893,D006943,True
C010247,D006943,True
D003847,D006943,True
D008790,D006943,True
C008461,D006943,True
D003899,D006943,True
C007095,D006943,True
D000171,D006943,True
D012312,D006943,True
C031480,D006943,True
D007306,D006943,True
C002979,D006943,True
D013654,D006943,True
C011825,D010302,True
C100194,D010302,True
D015632,D010302,True
D000077152,D010302,True
D010546,D010302,True
D015282,D010302,True
D008550,D010302,True
D001712,D010302,True
D009538,D010302,True
D005484,D010302,True
D008345,D010302,True
D002746,D010302,True
D001590,D010302,True
D002211,D011537,True
D014640,D011537,True
C012768,D011537,True
D000616,D011537,True
D003975,D011537,True
D005436,D011537,True
D000077266,D011537,True
C515724,D011537,True
D010672,D011537,True
D015766,D011537,True
D010396,D011537,True
D009151,D011537,True
D009271,D011537,True
C108286,D011537,True
D009538,D011537,True
D008620,D011537,True
D002220,D011537,True
C112356,D011537,True
D002939,D011537,True
D011239,D013708,True
D003907,D008471,True
C056507,D021441,True
D000527,D001477,True
C014553,D004198,True
D015080,D002294,True
D002110,D002294,True
C051950,D002294,True
C043062,D002294,True
D002330,D002294,True
D004054,D002294,True
C459179,D002294,True
