NodeIdentifier1,NodeIdentifier2,InTestSet
PLK2,14-3-3 epsilon_T208,True
Bcr,14-3-3 theta_S232,True
Akt1,14-3-3 zeta_S58,True
mTOR,4E-BP1_T70,True
PKACA,5-LO_S272,True
AMPKA2,53BP1_S1317,True
PKCA,ABCB1_S667,True
PKACA,ABCB1_S671,True
Src,ACLY_Y252,True
Akt3,ADAR_T1033,True
PKCA,ADD2_S713,True
GRK2,ADRA1D_S323,True
PKCA,ADRA1D_S516,True
Akt1,ADRB2_S346,True
GRK3,ADRB2_S356,True
GRK6,ADRB2_S356,True
GRK5,ADRB2_S396,True
GRK5,ADRB2_S401,True
LYN,AKAP8_Y150,True
Src,AKAP8_Y51,True
ERK1,AML1 iso8_S276,True
CDK6,AML1 iso8_S303,True
CDK1,AML3_S465,True
AMPKA1,AMPKA1_S486,True
CAMKK2,AMPKA1_T183,True
CAMKK2,AMPKA2_T172,True
CDK1,APC1_S355,True
CDK1,APC1_S547,True
PLK4,ARP2_T237,True
mTOR,AR_S96,True
p90RSK,AS160_S318,True
Akt1,AS160_S588,True
ERK2,ASB2_S371,True
IKKE,ASB8_S17,True
JNK1,ATF-2_S90,True
JNK1,ATF-2_T69,True
P38A,ATF-2_T71,True
PLK3,ATF-2_T71,True
ERK2,Abi-1_S225,True
ERK2,Abi-1_T394,True
LYN,Abl_Y215,True
ILK,Akt1_S473,True
PKCB,Akt1_S473,True
AXL,Akt1_T308,True
PKCB,Akt1_T308,True
Brk,Akt1_Y315,True
DNAPK,Artemis_S503,True
ATM,Artemis_S516,True
CK1D,BACE_S498,True
PRKD1,BAD_S118,True
BRAF,BAD_S134,True
PKCT,BAD_S99,True
VRK2,BAF_T2,True
ERK1,BAG3_T285,True
Akt1,BAP37_S176,True
CAMK4,BAP37_S91,True
PKCZ,BAX_S184,True
PKCA,BEST1_S358,True
JNK2,BID_T59,True
ERK2,BMF_S74,True
ERK1,Bcl-2_T56,True
GSK3A,Bcl-xL_S62,True
PINK1,Bcl-xL_S62,True
TEC,Btk_Y223,True
HIPK2,C/EBP-beta_T235,True
PKCG,C5aR_S334,True
HPK1,CARD11_S558,True
ERK2,CASP9_T125,True
Syk,CBL_Y700,True
P38A,CBX4_T497,True
Akt2,CBY1_S20,True
EGFR,CCDC50_Y279,True
CDK1,CCNB1_S126,True
p90RSK,CCT2_S260,True
Fyn,CD133_Y852,True
CDK1,CDC16_S112,True
Chk2,CDC25A_S178,True
DYRK2,CDC25A_S18,True
Chk1,CDC25A_S279,True
Chk1,CDC25A_S76,True
CDK1,CDC27_S426,True
PLK1,CDC27_T205,True
CDK1,CDC27_T430,True
CK2A1,CDC37_S13,True
AurB,CDCA5_S126,True
CDK1,CDCA5_S33,True
ERK1,CDCA5_S79,True
ERK2,CDCA5_S79,True
CDK1,CDCA5_S83,True
CDK1,CDCA5_T115,True
HER2,CDK1_Y15,True
Myt1,CDK1_Y15,True
Wee1,CDK1_Y15,True
CDK2,CDK2_T160,True
CDK7,CDK2_T160,True
CDK2,CDK7_T170,True
PKCE,CENTA1_S87,True
PKCA,CENTA1_T276,True
PKCG,CHAT iso3_S440,True
BCR-ABL1,CHCHD2_Y99,True
ERK1,CIITA_S280,True
GSK3B,CLASP2_S507,True
CDK5,CLASP2_S541,True
BCR-ABL1,CRKL_Y207,True
CDK5,CRMP-1_T509,True
GSK3A,CRMP-2_S518,True
DYRK2,CRMP-4_S522,True
JNK1,CTBP1_S422,True
PKACA,CTBP2_S164,True
JNK1,CTNNB1_S37,True
CK1A,CTNNB1_S45,True
IKKA,CTNNB1_S45,True
Brk,CTNNB1_Y333,True
CK1E,CTNND1_S268,True
ERK2,CTNND1_T308,True
ERK2,CTNND1_T906,True
PKACA,CTPS_T455,True
PKCD,CXCR4_S324,True
GRK6,CXCR4_S325,True
PKCA,CYP3A4_S116,True
Arg,Catalase_Y231,True
ATR,Chk2_T68,True
ERK1,Cortactin_S405,True
ERK1,Cortactin_S418,True
Pyk2,Cortactin_Y486,True
PKCD,DAP3_T186,True
ROCK1,DAPK3_T299,True
Lck,DAPP1_Y139,True
Abl,DCBLD2_Y655,True
ATR,DCK_S74,True
AMPKA1,DDIT3_S30,True
CDK1,DENR_S73,True
p70S6K,DEPTOR_S286,True
CDK1,DLG1_S443,True
ATR,DNAPK_T2609,True
CDK5,DNMT1_S154,True
GRK2,DOR-1_S363,True
GRK3,DOR-1_T361,True
CDK2,DRP1_S616,True
GSK3B,DRP1_S616,True
PKCD,DRP1_S616,True
CDC7,DTD1_S197,True
DYRK1B,DYRK1B_S421,True
EGFR,Daple_Y2025,True
GSK3B,Desmoplakin_S2849,True
CDK7,E2F1_T433,True
RAF1,EEF1A2_S21,True
P38D,EEF2K_S359,True
EEF2K,EEF2K_S366,True
PKCA,EGFR_T678,True
Abl,EGFR_Y1016,True
EGFR,EGFR_Y1092,True
EGFR,EGFR_Y1197,True
p70S6K,EIF4B_S422,True
CDK5,EPRS_S999,True
ERK2,ER-alpha_S104,True
CK2A1,ER-alpha_S167,True
CDK2,EVI1_S436,True
PKCI,EZH2_T345,True
PKCB,EphA2_S892,True
RSK2,EphA2_S897,True
p90RSK,EphA2_S897,True
ERK2,Ets-1_T38,True
Lck,Ezrin_Y146,True
PLK1,FADD_S194,True
Src,FAK_Y1007,True
Etk,FAK_Y441,True
Etk,FAK_Y577,True
LYN,FAM82A2_Y176,True
ATR,FANCD2_S717,True
ATM,FANCI_S559,True
GSK3B,FBXL20_S139,True
GSK3B,FBXL20_S255,True
GSK3A,FBXL20_S421,True
PKCI,FBXW7_S10,True
PKCA,FBXW7_S18,True
Akt1,FBXW7_S227,True
PKCB,FCER1G_S69,True
BLK,FCGR2A_Y304,True
Syk,FCGR2C_Y310,True
CDK4,FOXM1_S489,True
CDK4,FOXM1_S522,True
CDK1,FOXM1_T611,True
DYRK1A,FOXO1A_S329,True
AMPKA2,FOXO3A_S413,True
IKKE,FOXO3A_S644,True
AMPKA2,FOXO3A_T179,True
Pim1,FOXO3A_T32,True
ERK2,FRA2_T322,True
CDK5,FZR1_S40,True
CDK5,FZR1_T121,True
ATR,Fe65_S228,True
PKCA,G-alpha(z)_S16,True
Src,GAB1_Y373,True
EGFR,GAB1_Y589,True
PKACA,GCM1_S269,True
PKACA,GFAP_T7,True
AMPKA1,GFAT_S261,True
P38A,GJA1_S282,True
ERK1,GLE1_S92,True
ERK2,GLE1_S93,True
GSK3B,GLE1_S93,True
EphA2,GLO1_Y136,True
PKACA,GMF-beta_T27,True
PKCA,GPR120 iso1_S373,True
PKACA,GPR15_S357,True
ERK2,GRASP55_T222,True
CK2A1,GRB14_S370,True
CDK5,GR_S211,True
